sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Estadual;12678;JHONY ANTONIO BARBOZA;PDT;PDT;1;Suplente;7;SP;250001643621;2040602022;2015
SP;Deputado Estadual;15555;FERNANDA MORENO DA SILVA;MDB;MDB;1;Suplente;7;SP;250001610013;2040602022;7905
SP;Deputado Estadual;40525;WAINES MOREIRA ALVES;PSB;PSB;1;Suplente;7;SP;250001620610;2040602022;4482
SP;Deputado Estadual;15515;OSMARIO SILVA;MDB;MDB;1;Suplente;7;SP;250001610007;2040602022;1402
SP;Deputado Estadual;90011;LUIZ AUGUSTO ROMANI DE OLIVEIRA;PROS;PROS;1;Não eleito;7;SP;250001719433;2040602022;2514
SP;Deputado Estadual;51525;FERNANDO FERREIRA DE QUEIROZ;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621422;2040602022;506
SP;Deputado Estadual;44019;RODRIGO LUIS DE BARROS ALMEIDA;UNIÃO;UNIÃO;1;Suplente;7;SP;250001602158;2040602022;17891
SP;Deputado Estadual;22762;JOSE CARLOS FERNANDES;PL;PL;1;Suplente;7;SP;250001610171;2040602022;7563
SP;Deputado Estadual;11125;CAIO FIORI DIAS;PP;PP;1;Suplente;7;SP;250001612300;2040602022;6914
SP;Deputado Estadual;28312;MICHAEL WILLI DA SILVA STREIDL;PRTB;PRTB;1;Não eleito;7;SP;250001699822;2040602022;13997
SP;Deputado Estadual;10099;LEONICE ALVES DA PAZ;REPUBLICANOS;REPUBLICANOS;1;Suplente;7;SP;250001639617;2040602022;9125
SP;Deputado Estadual;15012;BRUNO DE SOUSA ALVES;MDB;MDB;1;Suplente;7;SP;250001609986;2040602022;1321
SP;Deputado Estadual;20012;ELTON ALVES RIBEIRO DE CARVALHO JUNIOR;PSC;PSC;1;Eleito por QP;7;SP;250001643810;2040602022;46042
SP;Deputado Estadual;30330;SILVIA BARNABE;NOVO;NOVO;1;Suplente;7;SP;250001597788;2040602022;1156
SP;Deputado Estadual;22051;FABIANA DE LIMA BARROSO;PL;PL;1;Eleito por média;7;SP;250001610130;2040602022;65497
SP;Deputado Estadual;11190;RAFAEL HENRIQUE CANO TELHADA;PP;PP;1;Eleito por QP;7;SP;250001612252;2040602022;83438
SP;Deputado Estadual;11018;EVANDRO GONÇALVES PESSOA;PP;PP;1;Suplente;7;SP;250001612292;2040602022;3316
SP;Deputado Estadual;12369;ALEXSANDER MELO BUENO;PDT;PDT;1;Suplente;7;SP;250001643613;2040602022;1554
SP;Deputado Estadual;51133;NELSON PEDRO ROJA JUNIOR;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621456;2040602022;4890
SP;Deputado Estadual;28008;EMERSON ZOCCHI;PRTB;PRTB;1;Não eleito;7;SP;250001699859;2040602022;1008
SP;Deputado Estadual;14580;MARIA DE JESUS LOPES MARTINS SILVA;PTB;PTB;1;Não eleito;7;SP;250001724857;2040602022;153
SP;Deputado Estadual;15015;MOHAMED AHMED YOUSSEF;MDB;MDB;1;Suplente;7;SP;250001609970;2040602022;5245
SP;Deputado Estadual;12736;JOSÉ NELSON DA SILVA;PDT;PDT;1;Suplente;7;SP;250001643647;2040602022;177
SP;Deputado Estadual;36100;SILVIO DO CARMO CAMARGO;AGIR;AGIR;1;Não eleito;7;SP;250001721330;2040602022;0
SP;Deputado Estadual;19911;MARCOS MENDES DA SILVA;PODE;PODE;1;Suplente;7;SP;250001610522;2040602022;539
SP;Deputado Estadual;12101;FLÁVIA APARECIDA RODRIGUES;PDT;PDT;1;Suplente;7;SP;250001643604;2040602022;189
SP;Deputado Estadual;40051;REINALDO RÚBIO RODA;PSB;PSB;1;Suplente;7;SP;250001620661;2040602022;597
SP;Deputado Estadual;55177;VERA LUCIA MENDES DA SILVA;PSD;PSD;1;Suplente;7;SP;250001605039;2040602022;570
SP;Deputado Estadual;10789;GILMAR SOUZA DOS SANTOS;REPUBLICANOS;REPUBLICANOS;1;Suplente;7;SP;250001639612;2040602022;10906
SP;Deputado Estadual;40077;EDSON FLORINDO PEREIRA;PSB;PSB;1;Suplente;7;SP;250001620614;2040602022;4607
SP;Deputado Estadual;30200;RAFAEL GUSTAVO BERNARDO;NOVO;NOVO;1;Suplente;7;SP;250001597750;2040602022;4850
SP;Deputado Estadual;27133;ANTONIO GENARO PEREIRA DA SILVA;DC;DC;1;Não eleito;7;SP;250001692518;2040602022;740
SP;Deputado Estadual;28555;DAVID MONTEIRO DE MELLO;PRTB;PRTB;1;Não eleito;7;SP;250001699854;2040602022;790
SP;Deputado Estadual;13019;JOÃO GUILHERME BENETTI RAMOS;PT;PT / PV / PC do B;1;Suplente;7;SP;250001611772;2040602022;4160
SP;Deputado Estadual;35333;LUCIANA APARECIDA DE PAULA CARVALHO;PMB;PMB;1;Não eleito;7;SP;250001642247;2040602022;173
SP;Deputado Estadual;20700;THIAGO RODRIGO ROCHITI;PSC;PSC;1;Suplente;7;SP;250001643769;2040602022;22319
SP;Deputado Estadual;33366;CÍCERO PEREIRA DO VALE;PMN;PMN;1;Não eleito;7;SP;250001643297;2040602022;209
SP;Deputado Estadual;20800;FREDERICH GERALDO MARTINS;PSC;PSC;1;Suplente;7;SP;250001643828;2040602022;2765
SP;Deputado Estadual;11222;SAULO DE OLIVEIRA SOUZA;PP;PP;1;Suplente;7;SP;250001612314;2040602022;21614
SP;Deputado Estadual;14005;LILIANE DURCE;PTB;PTB;1;Não eleito;7;SP;250001614958;2040602022;734
SP;Deputado Estadual;22225;JOSE CARLOS FERREIRA VILELA;PL;PL;1;Suplente;7;SP;250001610156;2040602022;1863
SP;Deputado Estadual;77510;ANTONIO ALBERTO DOS REIS;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;7;SP;250001606245;2040602022;436
SP;Deputado Estadual;12120;JOÃO VICTOR MATTA DIAS FERREIRA;PDT;PDT;1;Suplente;7;SP;250001643622;2040602022;1547
SP;Deputado Estadual;77345;WILLIAM CLEMENTE CORREA;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;7;SP;250001606239;2040602022;1717
SP;Deputado Estadual;90919;BENJAMIN NOEL;PROS;PROS;1;Não eleito;7;SP;250001719432;2040602022;230
SP;Deputado Estadual;33290;MÁRCIA LOPES DE ARAUJO;PMN;PMN;1;Não eleito;7;SP;250001643267;2040602022;273
SP;Deputado Estadual;19101;CLARICE CARASSOL AREVALO GANEM;PODE;PODE;1;Eleito por QP;7;SP;250001610528;2040602022;59342
SP;Deputado Estadual;70444;OZÉIAS BATISTA DOS SANTOS;AVANTE;AVANTE;1;Não eleito;7;SP;250001621752;2040602022;3215
SP;Deputado Estadual;14015;MARIA DO ROSARIO ALMEIDA;PTB;PTB;1;Não eleito;7;SP;250001614939;2040602022;0
SP;Deputado Estadual;50113;CLAUDIO BENVINDO BARBOSA;PSOL;REDE / PSOL;1;Não eleito;7;SP;250001619317;2040602022;0
SP;Deputado Estadual;19321;LEONARDO DA SILVA BRIGAGÃO;PODE;PODE;1;Suplente;7;SP;250001610475;2040602022;10654
SP;Deputado Estadual;19775;MARIA APARECIDA BORGES DE MACEDO;PODE;PODE;1;Suplente;7;SP;250001610506;2040602022;204
SP;Deputado Estadual;50800;JUVENIL BATISTA LOPES;PSOL;REDE / PSOL;1;Suplente;7;SP;250001619359;2040602022;2786
SP;Deputado Estadual;10224;MARIA NILZA FERREIRA ALVES;REPUBLICANOS;REPUBLICANOS;1;Suplente;7;SP;250001639625;2040602022;1096
SP;Deputado Estadual;19123;MARCIO PASCHOAL GIUDICIO;PODE;PODE;1;Suplente;7;SP;250001610472;2040602022;37668
SP;Deputado Estadual;18555;JOSÉ MENINO DE OLIVEIRA;REDE;REDE / PSOL;1;Suplente;7;SP;250001619397;2040602022;798
SP;Deputado Estadual;20021;LUCIA DE FATIMA SILVA ROSIM;PSC;PSC;1;Suplente;7;SP;250001643780;2040602022;23403
