sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;7717;EDUARDO VINICIUS VENTURELLI DE ALMEIDA PRANDO;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606069;2040602022;3209
SP;Deputado Federal;1344;JAQUES ARTUR MUNHOZ;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610682;2040602022;5983
SP;Deputado Federal;2112;PAMELA CHRISTY MESQUITA MUNIZ;PCB;PCB;1;Não eleito;6;SP;250001640575;2040602022;506
SP;Deputado Federal;2844;MARCOS ROBERTO DIAS DE OLIVEIRA;PRTB;PRTB;1;Não eleito;6;SP;250001715904;2040602022;265
SP;Deputado Federal;1436;MARIA CELESTE JUSTA;PTB;PTB;1;Não eleito;6;SP;250001604860;2040602022;289
SP;Deputado Federal;1082;ELAINE CRISTINA DO NASCIMENTO;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;SP;250001611888;2040602022;3185
SP;Deputado Federal;2001;ALEXANDRE DONIZETE TEODORO;PSC;PSC;1;Suplente;6;SP;250001643914;2040602022;987
SP;Deputado Federal;4525;EDISON IWAO KURAMOTO;PSDB;CIDADANIA / PSDB;1;Suplente;6;SP;250001612115;2040602022;3634
SP;Deputado Federal;7704;JOSE PAULINO DE SOUZA JUNIOR;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606094;2040602022;924
SP;Deputado Federal;5189;SERGIO KHODOR CURY;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620767;2040602022;167
SP;Deputado Federal;1472;MIGUEL ANDERSON HEREDIA DE SÁ;PTB;PTB;1;Não eleito;6;SP;250001604846;2040602022;614
SP;Deputado Federal;5155;ANDRE EDUARDO RIBEIRO;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620764;2040602022;21114
SP;Deputado Federal;4444;ROBERTO SEBASTIÃO PETERNELLI JUNIOR;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602053;2040602022;17589
SP;Deputado Federal;1531;RODNEY VICENTE DE SOUZA;MDB;MDB;1;Suplente;6;SP;250001611263;2040602022;4884
SP;Deputado Federal;4456;FERNANDO CAPEZ;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602045;2040602022;40346
SP;Deputado Federal;4045;EVILASIO CAVALCANTE DE FARIAS;PSB;PSB;1;Não eleito;6;SP;250001620276;2040602022;0
SP;Deputado Federal;4425;ALEXANDRE LEITE DA SILVA;UNIÃO;UNIÃO;1;Eleito por QP;6;SP;250001602036;2040602022;192806
SP;Deputado Federal;2289;LYSSA CAROLINE MONTEIRO MAXIMO CARTIER;PL;PL;1;Suplente;6;SP;250001611346;2040602022;2045
SP;Deputado Federal;1144;FILIPE AUGUSTO FORNARI MONTANHOLI;PP;PP;1;Suplente;6;SP;250001611958;2040602022;16583
SP;Deputado Federal;5129;RUZINON SILVA;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620729;2040602022;255
