"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"MARCO ANTONIO FONTEBASSO";"MARCO FONTEBASSO";"Deputado Federal";9051;"PROS";"PROS";"Deferido";"Suplente"
"MARCOS DA COSTA";"MARCOS DA COSTA";"Deputado Federal";7000;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"MARCOS DE BARROS GABRIEL";"MARCOS GABRIEL";"Deputado Federal";3685;"AGIR";"AGIR";"Deferido";"Não eleito"
"MARCOS GUERRA";"MARCOS GUERRA";"Deputado Federal";4490;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MARCOS ANTONIO DE CARVALHO LUCAS";"MARCOS LUCAS";"Deputado Federal";3032;"NOVO";"NOVO";"Deferido";"Suplente"
"MARCOS ANTONIO DE ARAUJO";"MARCOS MARRETA";"Deputado Federal";4521;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARCOS ROBERTO DIAS DE OLIVEIRA";"MARCOS OLIVEIRA";"Deputado Federal";2844;"PRTB";"PRTB";"Deferido";"Não eleito"
"MARCOS ANTONIO PALERMO";"MARCOS PALERMO";"Deputado Federal";1505;"MDB";"MDB";"Deferido";"Suplente"
"MARCOS ANDRÉ PAPA";"MARCOS PAPA";"Deputado Federal";1916;"PODE";"PODE";"Deferido";"Suplente"
"MARCOS ANTONIO PEREIRA";"MARCOS PEREIRA";"Deputado Federal";1010;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Eleito por QP"
"MARCOS ESTEVÃO MARQUES SARAIVA";"MARCOS SARAIVA";"Deputado Federal";1537;"MDB";"MDB";"Deferido";"Suplente"
"MARCUS VINICIUS DE ARAÚJO DANTAS";"MARCUS DANTAS";"Deputado Federal";1997;"PODE";"PODE";"Deferido";"Suplente"
"MARGARETE SÁ DOS REIS";"MARGARETE REIS";"Deputado Federal";2237;"PL";"PL";"Deferido";"Suplente"
"MARIANNE BORGES TAVELLI";"MARI TAVELLI";"Deputado Federal";7740;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"MARIA DA PAIXÃO PEREIRA COSTA";"MARIA COSTA";"Deputado Federal";1913;"PODE";"PODE";"Deferido";"Suplente"
"MARIA ELI FERNANDES DOS SANTOS MANIÇOBA";"MARIA ELI FERNANDES";"Deputado Federal";5040;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"MARIA ELISANGELA DE ARAÚJO";"MARIA ELIZANGELA ZANZA";"Deputado Federal";3325;"PMN";"PMN";"Deferido";"Não eleito"
"MARIA GIOVANA LUCHIARI PISONI DUARTE FORTUNATO";"MARIA GIOVANA";"Deputado Federal";1212;"PDT";"PDT";"Deferido";"Não eleito"
"MARIA JOAQUINA DOS SANTOS";"MARIA JOAQUINA";"Deputado Federal";1275;"PDT";"PDT";"Deferido";"Não eleito"
"MARIA JOSE DE SOUZA";"MARIA JOSE";"Deputado Federal";1426;"PTB";"PTB";"Deferido";"Não eleito"
"MARIA JOSÉ CUNHA";"MARIA JOSÉ CUNHA";"Deputado Federal";9083;"PROS";"PROS";"Indeferido";"Concorrendo"
"MARIA LÚCIA BRESSANE CRUZ";"MARIA LÚCIA BRESSANE";"Deputado Federal";7095;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"MARIA DE JESUS LOPES MARTINS SILVA";"MARIA MARTINS";"Deputado Federal";1494;"PTB";"PTB";"Renúncia";"Concorrendo"
"MARIA DO PARTO MENDES ROSAS";"MARIA ROSAS";"Deputado Federal";1022;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Eleito por média"
"MARIANA FRAGOSO WATANABE";"MARIANA FRAGOSO";"Deputado Federal";1612;"PSTU";"PSTU";"Deferido";"Não eleito"
"MARIANA CERGOLI JANEIRO";"MARIANA JANEIRO CHAPADASPRETAS";"Deputado Federal";1366;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"MARIANA CRISTINA PONTES PAPAIZ";"MARIANA PAPAIZ";"Deputado Federal";9042;"PROS";"PROS";"Deferido";"Suplente"
"MARILZA DE FATIMA RUFINO";"MARILZA RUFINO";"Deputado Federal";3067;"NOVO";"NOVO";"Deferido";"Suplente"
"MARINA CORREIA DA SILVA";"MARINA CORREIA";"Deputado Federal";4546;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARINA HELENA CUNHA PEREIRA SANTOS";"MARINA HELENA";"Deputado Federal";3001;"NOVO";"NOVO";"Deferido";"Suplente"
"MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA";"MARINA SILVA";"Deputado Federal";1818;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Eleito por QP"
