"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"RAIMUNDO NONATO PEREIRA DOS SANTOS";"RAIMUNDO NONATO";"Deputado Federal";2826;"PRTB";"PRTB";"Deferido";"Não eleito"
"RALF SANTOS NAURE";"RALF NAURE";"Deputado Federal";4388;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"RAMIRO ALVES DA ROCHA CRUZ JUNIOR";"RAMIRO DOS CAMINHONEIROS";"Deputado Federal";2225;"PL";"PL";"Deferido";"Suplente"
"SEVERINO DOS RAMOS SANTOS SILVA";"RAMOS";"Deputado Federal";3600;"AGIR";"AGIR";"Renúncia";"Concorrendo"
"RAQUEL VIEIRA DOS SANTOS";"RAQUEL VIEIRA";"Deputado Federal";4453;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"RAUL CAMPOS NASCIMENTO";"RAUL PRÓ GUARULHOS";"Deputado Federal";5001;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"REBECA GADI TEIXEIRA DA SILVA";"REBECA GADE";"Deputado Federal";1079;"REPUBLICANOS";"REPUBLICANOS";"Renúncia";"Concorrendo"
"MARIA REGINA LEME PRADO";"REGINA ENFERMEIRA";"Deputado Federal";4550;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Renúncia";"Não eleito"
"MARIA REGINA MENDES FERREIRA";"REGINA FERREIRA";"Deputado Federal";1207;"PDT";"PDT";"Deferido";"Não eleito"
"MARIA REGINA GONÇALVES";"REGINA GONÇALVES";"Deputado Federal";4343;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"REGINA APARECIDA DOS SANTOS SILVA";"REGINA SILVA";"Deputado Federal";9036;"PROS";"PROS";"Indeferido";"Concorrendo"
"REGINALDO ARAUJO SENA";"REGINALDO SENA";"Deputado Federal";7772;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"REINALDO DE SOUZA ALGUZ";"REINALDO ALGUZ";"Deputado Federal";4436;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"REINALDO MONTEIRO DA SILVA";"REINALDO MONTEIRO";"Deputado Federal";4427;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"REINALDO GUIMARÃES MOTA";"REINALDO MOTA";"Deputado Federal";5116;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"REINALDO ADRIANO DO CARMO";"REINALDO UBER";"Deputado Federal";3399;"PMN";"PMN";"Deferido";"Não eleito"
"RENAN ELIAS GODINHO";"RENAN GODINHO";"Deputado Federal";1907;"PODE";"PODE";"Deferido";"Suplente"
"RENATA HELLMEISTER DE ABREU MELO";"RENATA ABREU";"Deputado Federal";1919;"PODE";"PODE";"Deferido";"Eleito por QP"
"RENATA BANHARA PEIXOTO MARCONDES";"RENATA BANHARA";"Deputado Federal";1084;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"RENATA ODETTE DE MELLO";"RENATA MELLO POKAS";"Deputado Federal";1992;"PODE";"PODE";"Deferido";"Suplente"
"RENATA CARVALHO RIBEIRO GIMENEZ";"RENATA RIBEIRO";"Deputado Federal";2839;"PRTB";"PRTB";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"RENATA SIMONETTI ALVES MARCHETTI";"RENATA SIMONETTI";"Deputado Federal";1006;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"RENATO RAMOS DE SOUZA";"RENATINHO SE LIGUE";"Deputado Federal";4023;"PSB";"PSB";"Deferido";"Suplente"
"RENATO BENEDUCI ASSAD";"RENATO BANCADA ANTICAPITALISTA";"Deputado Federal";1611;"PSTU";"PSTU";"Deferido";"Não eleito"
"RENATO MOTTA BICUDO GUIMARÃES E SILVA";"RENATO BICUDO";"Deputado Federal";3058;"NOVO";"NOVO";"Deferido";"Suplente"
"RENATO DISSEI";"RENATO DISSEI";"Deputado Federal";1160;"PP";"PP";"Renúncia";"Concorrendo"
"RENATO CARVALHO DONATO";"RENATO DONATO";"Deputado Federal";4034;"PSB";"PSB";"Deferido";"Suplente"
"RENATO TADEU DE OLIVEIRA PAIVA";"RENATO PAIVA";"Deputado Federal";5559;"PSD";"PSD";"Deferido";"Suplente"
"RENATO TAMAIO DE SOUZA";"RENATO TAMAIO";"Deputado Federal";1470;"PTB";"PTB";"Deferido";"Não eleito"
"RENATO TAROCO";"RENATO TAROCO";"Deputado Federal";1005;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"RENE ROSA";"RENE DO RAP";"Deputado Federal";3656;"AGIR";"AGIR";"Deferido";"Não eleito"
"JOSÉ ANTONIO DE GÓES FILHO";"REVERENDO JOSÉ GÓES";"Deputado Federal";5112;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"RIBAMAR ANTONIO DA SILVA";"RIBAMAR SILVA";"Deputado Federal";5519;"PSD";"PSD";"Deferido";"Suplente"
"RICARDO PEREIRA DO CARMO";"RICARDO";"Deputado Federal";9031;"PROS";"PROS";"Deferido";"Suplente"
"RICARDO DE DEUS ANDRADE";"RICARDO ANDRADE";"Deputado Federal";3671;"AGIR";"AGIR";"Deferido";"Não eleito"
"RICARDO DUREGGER";"RICARDO DUREGGER";"Deputado Federal";9019;"PROS";"PROS";"Deferido";"Suplente"
"RICARDO FASSIO CAVALCANTE CUNHA";"RICARDO FÁSSIO";"Deputado Federal";3613;"AGIR";"AGIR";"Deferido";"Não eleito"
"RICARDO MAGNUS OSÓRIO GALVÃO";"RICARDO GALVÃO";"Deputado Federal";1877;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"RICARDO HOLZ VIDAL DOS SANTOS";"RICARDO HOLZ";"Deputado Federal";1978;"PODE";"PODE";"Deferido";"Suplente"
"RICARDO IZAR JUNIOR";"RICARDO IZAR";"Deputado Federal";1011;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"RICARDO KANAAN MARIANO DE ALMEIDA";"RICARDO KANAAN";"Deputado Federal";1543;"MDB";"MDB";"Deferido";"Suplente"
"RICARDO BRUNO MELENCHON";"RICARDO MELENCHON VIVA VERDE";"Deputado Federal";4334;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"RICARDO JORGE MUTRAN";"RICARDO MUTRAN";"Deputado Federal";1124;"PP";"PP";"Deferido";"Suplente"
"RICARDO DE CAMPOS RAMOS";"RICARDO RAMOS";"Deputado Federal";3090;"NOVO";"NOVO";"Deferido";"Suplente"
"RICARDO DE AQUINO SALLES";"RICARDO SALLES";"Deputado Federal";2250;"PL";"PL";"Deferido";"Eleito por QP"
"RICARDO AUGUSTO MACHADO DA SILVA";"RICARDO SILVA";"Deputado Federal";5512;"PSD";"PSD";"Deferido";"Eleito por QP"
"JOSÉ RICARDO ALVARENGA TRIPOLI";"RICARDO TRIPOLI";"Deputado Federal";4565;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"RICARDO GUILGER DE LIMA";"RICARDO TROVÃO";"Deputado Federal";3531;"PMB";"PMB";"Deferido";"Não eleito"
"RICHARD PORTO DE ROSA";"RICHARD DE ROSA";"Deputado Federal";4501;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Renúncia";"Concorrendo"
"RITA DE CASSIA BORGES DOS SANTOS GUEDES";"RITA GUEDES";"Deputado Federal";2236;"PL";"PL";"Deferido";"Suplente"
"RITA DE CASSIA TRINCA PASSOS";"RITA PASSOS";"Deputado Federal";1044;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"RIVALDO DOS SANTOS SILVA";"RIVA";"Deputado Federal";2979;"PCO";"PCO";"Deferido";"Não eleito"
"RIVANDA OLIVEIRA RIELI";"RIVANDA RIELI";"Deputado Federal";4056;"PSB";"PSB";"Deferido";"Suplente"
"ROSÂNGELA MARIA RIZZOLO CAMOLESE";"RÔ CAMOLESE";"Deputado Federal";4577;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"ROSANGELA CARDOSO";"RO CARDOSO";"Deputado Federal";3540;"PMB";"PMB";"Deferido";"Não eleito"
"ROBERTA CRISTINA RONCADA GASPAR";"ROBERTA GASPAR";"Deputado Federal";1483;"PTB";"PTB";"Deferido";"Não eleito"
"ROBERTA KELLY SILVA FLORENCIO";"ROBERTA KELLY";"Deputado Federal";2713;"DC";"DC";"Indeferido";"Concorrendo"
"ROBERTO MOREIRA DE SOUZA";"ROBERTINHO DO ÓCULOS";"Deputado Federal";2333;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"BENEDITO ROBERTO ALVES FERREIRA";"ROBERTO ALVES";"Deputado Federal";1078;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"EUCLIDES ROBERTO FERREIRA";"ROBERTO BRASIL";"Deputado Federal";1969;"PODE";"PODE";"Deferido";"Suplente"
"JOÃO ROBERTO TRINDADE";"ROBERTO BUJUTSU";"Deputado Federal";2806;"PRTB";"PRTB";"Deferido";"Não eleito"
"ROBERTO ALVES DE LUCENA";"ROBERTO DE LUCENA";"Deputado Federal";1099;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"ROBERTO PIRES";"ROBERTO PIRES";"Deputado Federal";1056;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"ROBERTO RUFCA DE OLIVEIRA";"ROBERTO RUFCA";"Deputado Federal";1545;"MDB";"MDB";"Deferido";"Suplente"
"ROBSON DE LIMA";"ROBSON LIMA";"Deputado Federal";3668;"AGIR";"AGIR";"Deferido";"Não eleito"
"ROBSON INACIO GOMES";"ROBSON PENTECOSTE";"Deputado Federal";3617;"AGIR";"AGIR";"Deferido";"Não eleito"
"ROBSON JOSE DOS SANTOS";"ROBSON SANTOS";"Deputado Federal";7779;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"ROBSON SILVÉRIO DA SILVA";"ROBSON SILVÉRIO";"Deputado Federal";5066;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"JOSÉ EDINALDO DE OLIVEIRA";"ROCHINHA";"Deputado Federal";5150;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"RODOLFO FRANCISCO DE SOUZA";"RODOLFO DESPACHANTE";"Deputado Federal";2080;"PSC";"PSC";"Deferido";"Suplente"
"ADEMIR RODRIGO DA LUZ";"RODRIGÃO DOS TRAVESSOS";"Deputado Federal";3602;"AGIR";"AGIR";"Deferido";"Não eleito"
"RODRIGO ANTONIO DE AGOSTINHO MENDONÇA";"RODRIGO AGOSTINHO";"Deputado Federal";4015;"PSB";"PSB";"Deferido";"Suplente"
"RODRIGO PIERNAS ANDOLFATO";"RODRIGO ANDOLFATO";"Deputado Federal";1423;"PTB";"PTB";"Deferido";"Não eleito"
"RODRIGO ALMEIDA PASSOS";"RODRIGO AP";"Deputado Federal";4057;"PSB";"PSB";"Renúncia";"Concorrendo"
"RODRIGO GAMBALE VIEIRA";"RODRIGO GAMBALE";"Deputado Federal";1977;"PODE";"PODE";"Deferido";"Eleito por média"
"RODRIGO ANDRADE BENUZZI DA LUZ";"RODRIGO LUZ";"Deputado Federal";3091;"NOVO";"NOVO";"Deferido";"Suplente"
"RODRIGO ADRIANO DA SILVA";"RODRIGO RAS";"Deputado Federal";4467;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"RODRIGUES MARQUES DE FIGUEIREDO";"RODRIGO RODRIGUES";"Deputado Federal";2055;"PSC";"PSC";"Deferido";"Suplente"
"RODRIGO TAVANO";"RODRIGO TAVANO";"Deputado Federal";3050;"NOVO";"NOVO";"Deferido";"Suplente"
"RODRIGO TAVARES DA SILVA";"RODRIGO TAVARES";"Deputado Federal";2877;"PRTB";"PRTB";"Deferido";"Não eleito"
"AIRTON RODRIGUES DE OLIVEIRA";"RODRIGUES";"Deputado Federal";3376;"PMN";"PMN";"Deferido";"Não eleito"
"ROGE BAUDICHON";"ROGE BAUDICHON";"Deputado Federal";1110;"PP";"PP";"Deferido";"Suplente"
"ROGERIA MARIA DE FREITAS";"ROGERIA FREITAS";"Deputado Federal";1103;"PP";"PP";"Deferido";"Suplente"
"ROGÉRIO DOS SANTOS GOMES";"ROGERIO";"Deputado Federal";2802;"PRTB";"PRTB";"Indeferido";"Não eleito"
"ROGERIO XAVIER FRANÇA";"ROGERIO FRANÇA";"Deputado Federal";2003;"PSC";"PSC";"Deferido";"Suplente"
"ROGÉRIO COELHO GRAFT";"ROGÉRIO GRAFT";"Deputado Federal";5144;"PATRIOTA";"PATRIOTA";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"ROGÉRIO DE JESUS PAES";"ROGÉRIO MILAGRE";"Deputado Federal";7085;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ROGERIO STRACIALANO PARADA";"ROGERIO PARADA";"Deputado Federal";2822;"PRTB";"PRTB";"Deferido";"Não eleito"
"ROGÉRIO BATTISTETTI MARTINS RODRIGUES";"ROGÉRIO RODRIGUES";"Deputado Federal";7058;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"JOÃO ROGÉRIO RODRIGUES VICARI";"ROGERIO VICARI";"Deputado Federal";4563;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"ROMÉRIO MOURA DA FONSECA";"ROMÁRIO";"Deputado Federal";9009;"PROS";"PROS";"Deferido";"Suplente"
"ROMÁRIO SANTOS ALVES";"ROMÁRIO SANTOS";"Deputado Federal";3317;"PMN";"PMN";"Deferido";"Não eleito"
"RONALDO PEREIRA COSTA";"RONALDO MOSCOU";"Deputado Federal";5117;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"RONEY CARLOS CARDOSO";"RONEY CARDOSO";"Deputado Federal";7018;"AVANTE";"AVANTE";"Renúncia";"Concorrendo"
"ROSA ALVES CARDOSO";"ROSA CARDOSO";"Deputado Federal";1928;"PODE";"PODE";"Deferido";"Suplente"
"ROSALINA SONIA DOS SANTOS";"ROSA DA AMBULÂNCIA";"Deputado Federal";2216;"PL";"PL";"Deferido";"Suplente"
"MARIA ROSA GUSMÃO RODRIGUES";"ROSA GUSMÃO";"Deputado Federal";5173;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"ROSANA DE OLIVEIRA VALLE";"ROSANA VALLE";"Deputado Federal";2227;"PL";"PL";"Deferido";"Eleito por QP"
"ROSANGELA MARIA WOLFF DE QUADROS MORO";"ROSÂNGELA MORO";"Deputado Federal";4400;"UNIÃO";"UNIÃO";"Deferido com recurso ou em prazo recursal";"Eleito por QP"
"ROSÂNGELA SILVA DOS SANTOS";"ROSÂNGELA SANTOS";"Deputado Federal";1321;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"ROSANGELA DA SILVA BATISTA";"ROSANGELA SILVA";"Deputado Federal";7065;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ROSELI DE PAULA SILVA DE SOUZA";"ROSE";"Deputado Federal";7021;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ROSEMEIRE MARQUES RIBEIRO ARCHANGELO";"ROSE ARCHANGELO";"Deputado Federal";5005;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"ROSEMEIRE SANTIAGO";"ROSE DO CERVI - A PRÓ VIDA DE";"Deputado Federal";2868;"PRTB";"PRTB";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"ROSEMEIRE MARTINS DE CARVALHO";"ROSEMEIRE MARTINS";"Deputado Federal";1480;"PTB";"PTB";"Deferido";"Não eleito"
"ROSSIELI SOARES DA SILVA";"ROSSIELI SOARES";"Deputado Federal";4567;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"WAGNER RUBINELLI";"RUBINELLI";"Deputado Federal";4064;"PSB";"PSB";"Deferido";"Suplente"
"RUBENS DE ALMEIDA";"RUBINHO DO IPIRANGA";"Deputado Federal";7057;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"RUBENS ALBERTO GATTI NUNES";"RUBINHO NUNES";"Deputado Federal";4455;"UNIÃO";"UNIÃO";"Renúncia";"Concorrendo"
"RUI GOETHE DA COSTA FALCÃO";"RUI FALCÃO";"Deputado Federal";1313;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Eleito por QP"
"SILVINO ROQUE NETO";"RUSSO";"Deputado Federal";3331;"PMN";"PMN";"Indeferido";"Concorrendo"
"RUTE APARECIDA LEITE RIPARI";"RUTE RIPARI";"Deputado Federal";1223;"PDT";"PDT";"Deferido";"Não eleito"
"EDUARDO DADE SALLUM";"SALLUM";"Deputado Federal";1341;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"SALOMÃO PEREIRA DA SILVA";"SALOMÃO";"Deputado Federal";2205;"PL";"PL";"Deferido";"Suplente"
"SÂMIA DE SOUZA BOMFIM";"SÂMIA BOMFIM";"Deputado Federal";5000;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Eleito por QP"
"SAMUEL DE OLIVEIRA BARBOSA";"SAMUEL BARBOSA";"Deputado Federal";1102;"PP";"PP";"Deferido";"Suplente"
"SAMUEL MOREIRA DA SILVA JUNIOR";"SAMUEL MOREIRA";"Deputado Federal";4580;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"EDUARDO SANASSAR FONSECA";"SANAZAR";"Deputado Federal";4448;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"SANDRA CAMARINHO DE MACEDO";"SANDRA MACEDO";"Deputado Federal";3014;"NOVO";"NOVO";"Deferido";"Suplente"
"SANDRA APARECIDA MADEU IDA";"SANDRA MADEU";"Deputado Federal";1367;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"SANDRA CRISTINA DOS SANTOS SOARES";"SANDRA PEQUENO LUCCA";"Deputado Federal";4031;"PSB";"PSB";"Deferido";"Suplente"
"ALEXSANDRE SANTOS RAMOS";"SANDRINHO SANTOS";"Deputado Federal";7799;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"ALEXSSANDRO BUSSOLA";"SANDRO BUSSOLA";"Deputado Federal";4523;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"ALESSANDRO SOUSA DA SILVA";"SANDRO DO PROS";"Deputado Federal";9057;"PROS";"PROS";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"SANDRO FERREIRA DE SOUZA";"SANDRO FERREIRA";"Deputado Federal";3371;"PMN";"PMN";"Deferido";"Não eleito"
"RAFAEL PACHECO ALQUEZAR";"SANTO LEGALIZA";"Deputado Federal";5042;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"SARA JANE RONCOLATO ZANETTI";"SARA JANE ZANETTI";"Deputado Federal";1887;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"FRANCISCO ALEXANDRE FILHO";"SARGENTO ALEXANDRE";"Deputado Federal";1933;"PODE";"PODE";"Deferido";"Suplente"
"LUIS ANTONIO DE LIMA CLEMENTE";"SARGENTO CLEMENTE";"Deputado Federal";4431;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"LUIZ EDUARDO DAMASCENO";"SARGENTO DAMASCENO";"Deputado Federal";2879;"PRTB";"PRTB";"Deferido";"Não eleito"
"ELAINE CRISTINA DO NASCIMENTO";"SARGENTO ELAINE";"Deputado Federal";1082;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"FÁBIO AUGUSTO PESCINELLI";"SARGENTO FABIO KOJAK";"Deputado Federal";9006;"PROS";"PROS";"Deferido";"Suplente"
"EDSON FAGUNDES DE OLIVEIRA";"SARGENTO FAGUNDES";"Deputado Federal";3555;"PMB";"PMB";"Deferido";"Não eleito"
"ISRAEL NANTES SANTOS";"SARGENTO NANTES";"Deputado Federal";1112;"PP";"PP";"Deferido";"Suplente"
"NELIO FERNANDO DOS REIS";"SARGENTO NELIO REIS";"Deputado Federal";1401;"PTB";"PTB";"Deferido";"Não eleito"
"JOÃO BATISTA DE OLIVEIRA";"SARGENTO OLIVEIRINHA";"Deputado Federal";4538;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"RICARDO DA CRUZ FERNANDES";"SARGENTO RICARDO CRUZ";"Deputado Federal";2231;"PL";"PL";"Deferido";"Suplente"
"PAULO ROBERTO ROSENO JUNIOR";"SARGENTO ROSENO";"Deputado Federal";2852;"PRTB";"PRTB";"Deferido";"Não eleito"
"ANDERSON ALVES SIMÕES";"SARGENTO SIMÕES";"Deputado Federal";7099;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"WASHINGTON LUIZ BEZERRA DA SILVA";"SARGENTO WASHINGTON";"Deputado Federal";2801;"PRTB";"PRTB";"Deferido";"Não eleito"
"SAULO GOES DE ALBUQUERQUE";"SAULO GOES";"Deputado Federal";3678;"AGIR";"AGIR";"Deferido";"Não eleito"
"SAULO PEDROSO DE SOUZA";"SAULO PEDROSO";"Deputado Federal";5515;"PSD";"PSD";"Deferido com recurso ou em prazo recursal";"Suplente"
"SELMA RODRIGUES DANTAS MUNHOZ";"SELMA DANTAS";"Deputado Federal";1407;"PTB";"PTB";"Deferido";"Não eleito"
"SELMA SANTOS GAMA MARTINS";"SELMA GAMA";"Deputado Federal";9032;"PROS";"PROS";"Deferido";"Suplente"
"ROBERTO SELMER JÚNIOR";"SELMER";"Deputado Federal";2767;"DC";"DC";"Deferido";"Não eleito"
"SERGIO ROBERTO RIBEIRO DOS SANTOS";"SERGINHO";"Deputado Federal";4009;"PSB";"PSB";"Deferido";"Suplente"
"SERGIO NASCIMENTO DE CAMARGO";"SERGIO CAMARGO";"Deputado Federal";2204;"PL";"PL";"Deferido";"Suplente"
"SERGIO KHODOR CURY";"SERGIO CURY";"Deputado Federal";5189;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"SÉRGIO DA SILVA GRILLO";"SERGIO GRILLO";"Deputado Federal";1828;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"SÉRGIO AUGUSTO SILVA";"SERGIO MAGNUM DA FARMÁCIA";"Deputado Federal";5133;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"SEVERINO FRANCISCO DA COSTA";"SEVERA BARBEIRO";"Deputado Federal";4098;"PSB";"PSB";"Deferido";"Suplente"
"SIDNEY JOTA CARNEIRO";"SIDNEY CARNEIRO";"Deputado Federal";2853;"PRTB";"PRTB";"Renúncia";"Concorrendo"
"SIDNEY LUIZ DA CRUZ";"SIDNEY CRUZ";"Deputado Federal";7702;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"SIDNEY CARVALHO ELIAS";"SIDNEY ELIAS";"Deputado Federal";3080;"NOVO";"NOVO";"Deferido";"Suplente"
"SILVANA MENK PINTO";"SIL MENK";"Deputado Federal";1430;"PTB";"PTB";"Deferido";"Não eleito"
"SILAS ALVES FEITOSA";"SILAS FEITOSA";"Deputado Federal";2812;"PRTB";"PRTB";"Deferido";"Não eleito"
"SILÉA BENEDETTI DE MACEDO PEDROSO";"SILÉA BENEDETTI";"Deputado Federal";7774;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"SILVANA MENDES MUSQUEIRA";"SILVANA MENDES MUSQUEIRA";"Deputado Federal";2018;"PSC";"PSC";"Renúncia";"Concorrendo"
"SILVIA MIRANDA NAGATA";"SÍLVIA NAGATA";"Deputado Federal";1948;"PODE";"PODE";"Renúncia";"Concorrendo"
"SILVIA SAMPAIO SALES SANTOS";"SILVIA SANTOS";"Deputado Federal";4572;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MARIA JOSE DA SILVA";"SILVIA SOL";"Deputado Federal";2034;"PSC";"PSC";"Deferido";"Suplente"
"SILVIO EDUARDO CONEGLIAM PECCIOLI";"SILVINHO FILHO";"Deputado Federal";5535;"PSD";"PSD";"Deferido";"Suplente"
"SILVIO FELIX DA SILVA";"SILVIO FÉLIX";"Deputado Federal";4420;"UNIÃO";"UNIÃO";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"SILVIO ROBERTO SEIXAS REGO";"SILVIO SEIXAS";"Deputado Federal";1425;"PTB";"PTB";"Renúncia";"Concorrendo"
"SIMONE LOPES BETINI";"SIMONE BETINI";"Deputado Federal";1131;"PP";"PP";"Deferido";"Suplente"
"SIMONE APARECIDA CURRALADAS DOS SANTOS";"SIMONE MARQUETTO";"Deputado Federal";1520;"MDB";"MDB";"Deferido";"Eleito por média"
"SIMONE CRISTINA SOUZA";"SIMONE SOUZA";"Deputado Federal";2989;"PCO";"PCO";"Deferido";"Não eleito"
"SIMONY CRISTINA TEIXEIRA DOS ANJOS";"SIMONY DOS ANJOS";"Deputado Federal";5068;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"APARECIDO RODRIGUES DE SIQUEIRA";"SIQUEIRA JUNIOR";"Deputado Federal";2890;"PRTB";"PRTB";"Deferido";"Não eleito"
"SIRLEI SIKORSKI";"SIRLEI SIKORSKI";"Deputado Federal";1014;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"SOLANGE DE SOUZA";"SOL SOUZA";"Deputado Federal";3318;"PMN";"PMN";"Deferido";"Não eleito"
"SOLANGE DE CÁSSIA MORAES";"SOLANGE MORAES";"Deputado Federal";1101;"PP";"PP";"Deferido";"Suplente"
"SOLANGE ELIZABETH DOS SANTOS DORTA";"SOLANGE PSICOLOGA";"Deputado Federal";1238;"PDT";"PDT";"Deferido";"Não eleito"
"SOLANGE APARECIDA FERREIRA DOS SANTOS";"SOLANGE SANTOS";"Deputado Federal";3642;"AGIR";"AGIR";"Deferido";"Não eleito"
"JOSÉ AUGUSTO FERREIRA";"SOLDADO JOSÉ AUGUSTO";"Deputado Federal";2790;"DC";"DC";"Deferido";"Não eleito"
"MARCELO HENRIQUE SILVA";"SOLDADO MARCELO";"Deputado Federal";7719;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"SONIA MARIA DELFINO";"SONIA DELFINO";"Deputado Federal";4540;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"SÔNIA BONE DE SOUSA SILVA SANTOS";"SÔNIA GUAJAJARA";"Deputado Federal";5088;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Eleito por QP"
"SONIA MARIA GUERREIRO PAZINI";"SONIA GUERREIRO";"Deputado Federal";1437;"PTB";"PTB";"Deferido";"Não eleito"
"SÔNIA MELHADO DE MORAIS";"SONIA MELHADO";"Deputado Federal";3623;"AGIR";"AGIR";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"SONILDA SOARES CONSTANTINO DE OLIVEIRA";"SONILDA SOARES";"Deputado Federal";3324;"PMN";"PMN";"Deferido";"Não eleito"
"STELA MARIA ATANÁZIO";"STELA ATANÁZIO";"Deputado Federal";2701;"DC";"DC";"Deferido";"Não eleito"
"STEVEN SANTOS DE LIMA";"STEVEN LIMA";"Deputado Federal";3577;"PMB";"PMB";"Deferido";"Não eleito"
